Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,3D_Bench,2D_Bench
GeForce GT 330,GPU,2010-02-02,55,75,260,754,500,TSMC,NVIDIA,422,119
GeForce GTX 280M,GPU,2009-03-03,65,75,324,754,585,TSMC,NVIDIA,621,440
GeForce GTX 285M,GPU,2010-02-01,65,75,324,754,600,TSMC,NVIDIA,676,246
Quadro FX 2800M,GPU,2009-12-01,65,75,324,754,600,TSMC,NVIDIA,433,80
Quadro FX 3700M,GPU,2008-08-14,65,75,324,754,550,TSMC,NVIDIA,467,117
Quadro FX 3700,GPU,2008-01-08,65,78,324,754,500,TSMC,NVIDIA,384,158
GeForce 9600 GSO,GPU,2008-04-28,65,84,324,754,550,TSMC,NVIDIA,350,118
Quadro FX 3800M,GPU,2008-08-14,65,100,324,754,675,TSMC,NVIDIA,628,68
GeForce 8800 GS,GPU,2008-01-31,65,105,324,754,500,TSMC,NVIDIA,332,154
GeForce 8800 GS,GPU,2008-01-31,65,105,324,754,550,TSMC,NVIDIA,332,154
GeForce GTS 240,GPU,2009-07-01,55,120,260,754,675,TSMC,NVIDIA,622,212
GeForce 8800 GT,GPU,2008-02-01,65,125,324,754,600,TSMC,NVIDIA,519,85
GeForce 8800 GT,GPU,2007-10-29,65,125,324,754,600,TSMC,NVIDIA,519,85
GeForce 9800 GT,GPU,2008-07-21,65,125,324,754,725,TSMC,NVIDIA,481,94
GeForce 9800 GT,GPU,2008-07-21,65,125,324,754,600,TSMC,NVIDIA,481,94
GeForce 9800 GT,GPU,2008-07-21,55,125,260,754,600,TSMC,NVIDIA,481,94
GeForce 8800 GTS 512,GPU,2007-12-11,65,135,324,754,650,TSMC,NVIDIA,591,109
GeForce 9600 GT,GPU,2009-05-27,65,140,324,754,580,TSMC,NVIDIA,505,60
GeForce 9800 GTX,GPU,2008-03-28,65,140,324,754,675,TSMC,NVIDIA,769,366
GeForce 9800 GTX,GPU,2009-01-16,55,141,260,754,738,TSMC,NVIDIA,769,366
GeForce GTS 150M,GPU,2009-03-10,65,141,324,754,738,TSMC,NVIDIA,504,407
GeForce GTS 250,GPU,2009-03-04,55,150,260,754,675,TSMC,NVIDIA,618,91
GeForce GTS 250,GPU,2009-03-04,55,150,260,754,702,TSMC,NVIDIA,618,91
GeForce 9800 GX2,GPU,2008-03-18,65,197,324,754,600,TSMC,NVIDIA,798,518
Quadro FX 4700 X2,GPU,2008-04-18,65,226,324,754,600,TSMC,NVIDIA,676,509
FirePro M7740,GPU,2009-08-04,40,60,137,826,650,TSMC,ATI,665,415
Radeon HD 4770,GPU,2009-04-28,40,80,137,826,750,TSMC,ATI,906,172
Radeon R3,GPU,2015-01-28,28,15,107,930,600,GF,AMD,304,97
Radeon R2,GPU,2015-01-28,28,100,107,930,300,GF,AMD,240,68
Radeon R3E,GPU,2015-01-28,28,100,107,930,351,GF,AMD,206,90
FirePro W2100,GPU,2014-08-12,28,26,77,950,630,TSMC,AMD,890,327
Radeon R7 240,GPU,2013-10-08,28,30,77,950,730,TSMC,AMD,863,258
Radeon R7 240,GPU,2013-10-08,28,30,77,950,650,TSMC,AMD,863,258
Radeon R7 M350,GPU,2015-01-01,28,35,77,950,725,TSMC,AMD,1027,230
Radeon HD 8670M,GPU,2013-02-02,28,45,77,950,600,TSMC,AMD,520,488
Radeon HD 8750M,GPU,2013-02-02,28,45,77,950,600,TSMC,AMD,860,212
Radeon R5 240,GPU,2013-11-01,28,50,77,950,730,TSMC,AMD,520,191
Radeon R5 430,GPU,2016-06-30,28,50,77,950,730,TSMC,AMD,939,313
Radeon R5 A240,GPU,2014-01-01,28,50,77,950,730,TSMC,AMD,576,802
Radeon R7 240,GPU,2013-11-01,28,50,77,950,730,TSMC,AMD,863,258
Radeon R7 340,GPU,2015-05-05,28,50,77,950,730,TSMC,AMD,931,357
Radeon R7 430,GPU,2016-06-30,28,50,77,950,920,TSMC,AMD,1110,416
Radeon R7 430,GPU,2016-06-30,28,50,77,950,730,TSMC,AMD,1110,416
Radeon R5 340,GPU,2015-05-05,28,65,77,950,730,TSMC,AMD,996,370
Radeon R5 340,GPU,2015-05-05,28,65,77,950,900,TSMC,AMD,996,370
Radeon R7 + R7 350 Dual,GPU,2015-05-05,28,65,77,950,1000,TSMC,AMD,1982,552
Radeon R7 250,GPU,2013-10-08,28,65,77,950,1000,TSMC,AMD,1151,296
Radeon HD 8670D,GPU,2013-01-08,28,75,77,950,1000,TSMC,AMD,548,189
Radeon HD 4810,GPU,2009-05-28,55,95,256,956,625,TSMC,ATI,769,425
Radeon HD 4830,GPU,2008-10-21,55,95,256,956,575,TSMC,ATI,860,81
Radeon HD 4850,GPU,2008-06-25,55,110,256,956,625,TSMC,ATI,953,110
FireStream 9250,GPU,2008-06-16,55,150,256,956,625,TSMC,AMD,1165,465
Radeon HD 4870,GPU,2009-01-06,55,150,256,956,750,TSMC,ATI,1391,72
Radeon HD 4870,GPU,2008-06-25,55,150,256,956,750,TSMC,ATI,1391,72
FirePro V8700,GPU,2008-09-11,55,151,256,956,750,TSMC,ATI,1539,527
FirePro V8700,GPU,NaT,55,151,256,956,750,TSMC,ATI,1539,527
FireStream 9270,GPU,2008-11-13,55,160,256,956,750,TSMC,AMD,1341,473
Radeon HD 4850 X2,GPU,2008-11-07,55,250,256,956,625,TSMC,ATI,1132,542
Radeon HD 4870 X2,GPU,2008-08-12,55,286,256,956,750,TSMC,ATI,1309,565
Radeon HD 4890,GPU,2009-04-02,55,190,282,959,850,TSMC,ATI,1533,103
GeForce 710A,GPU,2014-03-17,28,15,87,1020,719,TSMC,NVIDIA,451,258
GeForce 710M,GPU,2013-07-24,28,15,87,1020,719,TSMC,NVIDIA,450,116
GeForce 810A,GPU,2014-07-22,28,15,87,1020,719,TSMC,NVIDIA,622,319
GeForce GT 710,GPU,2014-03-27,28,19,87,1020,954,TSMC,NVIDIA,637,214
GeForce GT 720,GPU,2014-09-29,28,19,87,1020,797,TSMC,NVIDIA,606,196
GeForce GT 720,GPU,2014-03-27,28,19,87,1020,967,TSMC,NVIDIA,606,196
GeForce GT 630,GPU,2013-05-29,28,25,87,1020,902,TSMC,NVIDIA,683,208
Quadro K510M,GPU,2013-07-23,28,30,87,1020,889,TSMC,NVIDIA,610,550
Quadro K610M,GPU,2013-07-23,28,30,87,1020,980,TSMC,NVIDIA,708,239
GeForce 825M,GPU,2014-01-27,28,33,87,1020,850,TSMC,NVIDIA,769,293
GeForce 910M,GPU,2015-03-13,28,33,87,1020,641,TSMC,NVIDIA,578,150
GeForce 920A,GPU,2015-03-13,28,33,87,1020,954,TSMC,NVIDIA,872,242
GeForce 920M,GPU,2015-03-13,28,33,87,1020,954,TSMC,NVIDIA,723,119
GeForce GT 720M,GPU,2013-12-25,28,33,87,1020,719,TSMC,NVIDIA,467,116
GeForce GT 730A,GPU,2014-07-01,28,33,87,1020,719,TSMC,NVIDIA,743,714
GeForce GT 730M,GPU,2014-03-06,28,33,87,1020,719,TSMC,NVIDIA,816,173
GeForce GT 735M,GPU,2013-04-01,28,33,87,1020,575,TSMC,NVIDIA,594,131
GeForce GT 740A,GPU,2013-08-26,28,33,87,1020,980,TSMC,NVIDIA,702,393
GeForce GT 740M,GPU,2013-06-20,28,33,87,1020,980,TSMC,NVIDIA,779,143
GeForce GT 635,GPU,2013-10-01,28,35,87,1020,967,TSMC,NVIDIA,852,242
GeForce GT 730,GPU,2014-06-18,28,38,87,1020,902,TSMC,NVIDIA,812,238
GeForce GT 640,GPU,2013-05-29,28,49,87,1020,1046,TSMC,NVIDIA,1182,285
Radeon HD 5830,GPU,2010-01-07,40,24,166,1040,500,TSMC,ATI,1735,382
Mobility Radeon HD 5850,GPU,2010-01-07,40,30,166,1040,500,TSMC,ATI,763,403
Mobility Radeon HD 5850,GPU,2010-01-07,40,30,166,1040,628,TSMC,ATI,763,403
Mobility Radeon HD 5870,GPU,2010-01-07,40,50,166,1040,700,TSMC,ATI,1062,207
Radeon HD 6870,GPU,2011-01-04,40,50,166,1040,675,TSMC,AMD,2223,397
Radeon HD 5670,GPU,2010-07-18,40,64,166,1040,750,TSMC,ATI,784,279
FirePro V5800,GPU,2010-04-26,40,74,166,1040,690,TSMC,ATI,1186,339
Radeon HD 5750,GPU,2009-10-13,40,86,166,1040,700,TSMC,ATI,1156,336
Radeon HD 6750,GPU,2011-01-21,40,86,166,1040,700,TSMC,AMD,1005,304
Radeon HD 6770,GPU,2013-04-19,40,86,166,1040,700,TSMC,AMD,1231,313
Radeon HD 5770,GPU,2009-10-13,40,108,166,1040,850,TSMC,ATI,1351,328
Radeon HD 5770,GPU,2010-07-04,40,108,166,1040,850,TSMC,ATI,1351,328
Radeon HD 6770,GPU,2011-01-21,40,108,166,1040,850,TSMC,AMD,1231,313
GeForce GT 435M,GPU,2011-01-15,40,35,238,1170,590,TSMC,NVIDIA,521,208
GeForce GT 445M,GPU,2010-09-03,40,35,238,1170,570,TSMC,NVIDIA,881,250
GeForce GT 445M,GPU,2010-09-03,40,35,238,1170,590,TSMC,NVIDIA,881,250
GeForce GT 555M,GPU,2012-03-26,40,35,238,1170,675,TSMC,NVIDIA,688,124
GeForce GT 555M,GPU,2011-07-02,40,35,238,1170,590,TSMC,NVIDIA,688,124
GeForce GT 555M,GPU,2011-10-27,40,35,238,1170,525,TSMC,NVIDIA,688,124
GeForce GT 555M,GPU,2011-03-24,40,35,238,1170,590,TSMC,NVIDIA,688,124
GeForce GT 635M,GPU,2012-03-22,40,35,238,1170,675,TSMC,NVIDIA,563,173
GeForce GT 635M,GPU,2012-03-22,40,35,238,1170,650,TSMC,NVIDIA,563,173
GeForce GTX 460M,GPU,2010-09-03,40,50,238,1170,675,TSMC,NVIDIA,1198,246
Quadro 2000M,GPU,2011-01-13,40,55,238,1170,550,TSMC,NVIDIA,773,249
Quadro 2000,GPU,2010-12-24,40,62,238,1170,625,TSMC,NVIDIA,942,294
Quadro 2000D,GPU,2011-10-05,40,62,238,1170,625,TSMC,NVIDIA,989,324
GeForce GT 440,GPU,2010-10-11,40,65,238,1170,810,TSMC,NVIDIA,766,238
GeForce GT 545,GPU,2011-05-14,40,70,238,1170,720,TSMC,NVIDIA,1096,342
GeForce GT 640,GPU,2012-04-24,40,75,238,1170,720,TSMC,NVIDIA,1182,285
GeForce GTX 560M,GPU,2011-05-30,40,75,238,1170,775,TSMC,NVIDIA,1266,243
GeForce GT 545,GPU,2011-05-14,40,105,238,1170,871,TSMC,NVIDIA,1096,342
GeForce GTS 450,GPU,2010-09-13,40,106,238,1170,783,TSMC,NVIDIA,1321,303
GeForce GTS 450,GPU,2012-07-11,40,106,238,1170,783,TSMC,NVIDIA,1321,303
GeForce GTS 450,GPU,2010-09-13,40,106,238,1170,783,TSMC,NVIDIA,1321,303
GeForce GTS 450,GPU,2011-03-15,40,106,238,1170,783,TSMC,NVIDIA,1321,303
GeForce GTS 450,GPU,2010-10-11,40,106,238,1170,790,TSMC,NVIDIA,1321,303
GeForce GTX 550 Ti,GPU,2011-03-15,40,116,238,1170,900,TSMC,NVIDIA,1557,363
Radeon HD 8180,GPU,NaT,28,4,110,1178,225,TSMC,AMD,152,55
Radeon HD 8210,GPU,2014-01-31,28,8,110,1178,300,TSMC,AMD,191,50
Radeon HD 8250,GPU,2013-05-23,28,8,110,1178,300,TSMC,AMD,208,63
Radeon HD 8210E,GPU,2013-04-23,28,9,110,1178,300,TSMC,AMD,194,202
Radeon HD 8240,GPU,2013-11-01,28,15,110,1178,400,TSMC,AMD,241,62
Radeon HD 8280,GPU,2013-09-18,28,15,110,1178,450,TSMC,AMD,319,141
Radeon HD 8280E,GPU,2013-04-23,28,15,110,1178,450,TSMC,AMD,241,82
Radeon HD 8330,GPU,2013-08-13,28,15,110,1178,497,TSMC,AMD,252,68
Radeon HD 8330E,GPU,2013-04-23,28,15,110,1178,497,TSMC,AMD,242,95
Radeon HD 8400,GPU,2013-11-23,28,25,110,1178,600,TSMC,AMD,258,78
Radeon HD 8400E,GPU,2013-04-23,28,25,110,1178,600,TSMC,AMD,273,123
Radeon HD 6380G,GPU,2011-06-14,32,35,227,1178,400,TSMC,AMD,204,97
Radeon HD 6480G,GPU,2011-06-14,32,35,227,1178,593,TSMC,AMD,259,78
Radeon HD 6480G,GPU,2011-06-14,32,35,227,1178,444,TSMC,AMD,259,78
Radeon HD 6520G,GPU,2011-12-07,32,35,227,1178,400,TSMC,AMD,300,84
Radeon HD 6620G,GPU,2011-12-07,32,35,227,1178,444,TSMC,AMD,355,107
Radeon HD 6370D,GPU,2011-11-01,32,65,227,1178,444,TSMC,AMD,254,147
Radeon HD 6410D,GPU,2011-06-20,32,65,227,1178,444,TSMC,AMD,243,120
Radeon HD 6530D,GPU,2011-06-20,32,65,227,1178,444,TSMC,AMD,325,138
Radeon HD 6550D,GPU,2011-06-20,32,65,227,1178,600,TSMC,AMD,417,149
Radeon R2,GPU,2016-06-01,28,15,125,1200,200,GF,AMD,240,68
Radeon R3,GPU,2016-06-01,28,15,125,1200,200,GF,AMD,304,97
Radeon R4,GPU,2016-06-01,28,15,125,1200,200,GF,AMD,332,101
Radeon R6,GPU,2015-11-07,28,15,125,1200,200,GF,AMD,656,147
Intel HD 4000,GPU,2012-05-14,22,45,133,1200,650,Intel,Intel,333,187
Intel HD P4000,GPU,2012-05-14,22,45,133,1200,650,Intel,Intel,516,636
GeForce GT 640M LE,GPU,2012-03-22,28,20,118,1270,500,TSMC,NVIDIA,673,166
GeForce GT 640M,GPU,2012-03-22,28,32,118,1270,625,TSMC,NVIDIA,907,183
GeForce GT 640M,GPU,2013-02-03,28,32,118,1270,745,TSMC,NVIDIA,907,183
GeForce GT 645M,GPU,2012-10-01,28,32,118,1270,709,TSMC,NVIDIA,958,170
GeForce GT 730M,GPU,2013-01-20,28,33,118,1270,725,TSMC,NVIDIA,816,173
GeForce GT 745A,GPU,2013-08-26,28,33,118,1270,837,TSMC,NVIDIA,1144,748
NVS 510,GPU,2012-10-23,28,35,118,1270,797,TSMC,NVIDIA,730,276
Quadro K500M,GPU,2012-06-01,28,35,118,1270,850,TSMC,NVIDIA,480,184
Quadro 410,GPU,2012-08-07,28,38,118,1270,706,TSMC,NVIDIA,436,218
Quadro K420,GPU,2014-07-22,28,41,118,1270,876,TSMC,NVIDIA,775,280
Quadro K600,GPU,2013-03-01,28,41,118,1270,876,TSMC,NVIDIA,769,263
GeForce 710A,GPU,2015-03-21,28,45,118,1270,810,TSMC,NVIDIA,451,258
GeForce 810M,GPU,2015-03-21,28,45,118,1270,835,TSMC,NVIDIA,402,71
GeForce 820M,GPU,2015-03-21,28,45,118,1270,810,TSMC,NVIDIA,511,111
GeForce GT 650M,GPU,2012-07-12,28,45,118,1270,900,TSMC,NVIDIA,1199,233
GeForce GT 650M,GPU,2012-03-22,28,45,118,1270,835,TSMC,NVIDIA,1199,233
GeForce GT 740M,GPU,2013-04-01,28,45,118,1270,810,TSMC,NVIDIA,779,143
GeForce GT 745M,GPU,2013-04-01,28,45,118,1270,837,TSMC,NVIDIA,1055,172
GeForce GT 745M,GPU,2013-04-01,28,45,118,1270,549,TSMC,NVIDIA,1055,172
Quadro K1000M,GPU,2012-06-01,28,45,118,1270,850,TSMC,NVIDIA,773,244
Quadro K1100M,GPU,2013-07-23,28,45,118,1270,706,TSMC,NVIDIA,1082,250
GeForce GT 630,GPU,2012-04-24,28,50,118,1270,875,TSMC,NVIDIA,683,208
GeForce GT 640,GPU,2012-04-24,28,50,118,1270,797,TSMC,NVIDIA,1182,285
GeForce GT 720,GPU,2017-10-29,28,50,118,1270,993,TSMC,NVIDIA,606,196
GeForce GT 750M,GPU,2013-01-09,28,50,118,1270,941,TSMC,NVIDIA,1313,239
GeForce GT 750M,GPU,2013-11-08,28,50,118,1270,926,TSMC,NVIDIA,1313,239
GeForce GT 755M,GPU,2013-06-25,28,50,118,1270,980,TSMC,NVIDIA,1610,306
GeForce GTX 660M,GPU,2013-04-01,28,50,118,1270,950,TSMC,NVIDIA,1414,271
GeForce GTX 660M,GPU,2012-03-22,28,50,118,1270,835,TSMC,NVIDIA,1414,271
Quadro K2000,GPU,2013-03-01,28,51,118,1270,954,TSMC,NVIDIA,1567,371
Quadro K2000D,GPU,2013-03-01,28,51,118,1270,954,TSMC,NVIDIA,1614,396
Quadro K2000M,GPU,2012-06-01,28,55,118,1270,745,TSMC,NVIDIA,1027,256
GeForce GT 730,GPU,2015-04-09,28,64,118,1270,902,TSMC,NVIDIA,812,238
GeForce GT 740,GPU,2014-05-29,28,64,118,1270,993,TSMC,NVIDIA,1529,344
GeForce GT 1030,GPU,2018-09-30,28,65,118,1270,1058,TSMC,NVIDIA,2545,449
GeForce GT 640,GPU,2012-06-05,28,65,118,1270,902,TSMC,NVIDIA,1182,285
GeForce GTX 650,GPU,2012-09-06,28,65,118,1270,1058,TSMC,NVIDIA,1769,346
GRID K1,GPU,2013-03-18,28,130,118,1270,850,TSMC,NVIDIA,811,463
GRID K120Q,GPU,2014-07-02,28,130,118,1270,850,TSMC,NVIDIA,293,278
GRID K140Q,GPU,2013-06-28,28,130,118,1270,850,TSMC,NVIDIA,728,457
GRID K160Q,GPU,2013-06-28,28,130,118,1270,850,TSMC,NVIDIA,628,262
GRID K180Q,GPU,2013-06-28,28,130,118,1270,850,TSMC,NVIDIA,534,113
Intel HD 5000,GPU,2013-05-27,22,30,181,1300,200,Intel,Intel,563,231
Intel Iris 5100,GPU,2013-05-27,22,30,181,1300,200,Intel,Intel,758,277
Radeon HD 7400G,GPU,2012-10-02,32,17,246,1303,327,TSMC,AMD,267,109
Radeon HD 7500G,GPU,2012-05-15,32,17,246,1303,327,TSMC,AMD,330,114
Radeon HD 7600G,GPU,2012-09-01,32,19,246,1303,320,TSMC,AMD,320,99
Radeon HD 8310E,GPU,NaT,32,20,246,1303,424,TSMC,AMD,341,187
Radeon HD 7620G,GPU,2012-05-15,32,25,246,1303,360,TSMC,AMD,366,113
Radeon HD 7420G,GPU,2012-06-06,32,35,246,1303,480,TSMC,AMD,311,121
Radeon HD 7520G,GPU,2012-06-06,32,35,246,1303,496,TSMC,AMD,312,111
Radeon HD 7560D,GPU,2012-05-15,32,35,246,1303,496,TSMC,AMD,472,168
Radeon HD 7640G,GPU,2012-05-15,32,35,246,1303,496,TSMC,AMD,448,122
Radeon HD 7660G,GPU,2012-05-15,32,35,246,1303,686,TSMC,AMD,476,129
Radeon HD 8350G,GPU,2013-03-12,32,35,246,1303,514,TSMC,AMD,443,332
Radeon HD 8410G,GPU,2013-05-23,32,35,246,1303,450,TSMC,AMD,435,263
Radeon HD 8450G,GPU,2013-05-23,32,35,246,1303,533,TSMC,AMD,361,148
Radeon HD 8510G,GPU,2013-05-23,32,35,246,1303,554,TSMC,AMD,361,105
Radeon HD 8550G,GPU,2013-05-23,32,35,246,1303,515,TSMC,AMD,403,116
Radeon HD 8610G,GPU,2013-05-23,32,35,246,1303,533,TSMC,AMD,414,121
Radeon HD 8650G,GPU,2013-05-23,32,35,246,1303,533,TSMC,AMD,479,135
Radeon HD 7480D,GPU,2012-10-02,32,65,246,1303,720,TSMC,AMD,285,117
Radeon HD 7540D,GPU,2012-10-02,32,65,246,1303,760,TSMC,AMD,336,125
Radeon HD 7560D,GPU,2012-10-02,32,65,246,1303,760,TSMC,AMD,472,168
Radeon HD 8370D,GPU,NaT,32,65,246,1303,760,TSMC,AMD,311,151
Radeon HD 8470D,GPU,2013-07-29,32,65,246,1303,800,TSMC,AMD,362,145
Radeon HD 8550D,GPU,2013-05-23,32,65,246,1303,720,TSMC,AMD,685,357
Radeon HD 8570D,GPU,2013-07-10,32,65,246,1303,800,TSMC,AMD,434,154
Radeon HD 8650D,GPU,2013-12-28,32,65,246,1303,720,TSMC,AMD,526,398
Radeon HD 7660D,GPU,2012-10-02,32,100,246,1303,760,TSMC,AMD,504,182
Radeon HD 8670D,GPU,2013-03-12,32,100,246,1303,844,TSMC,AMD,548,189
Quadro FX 3800,GPU,2009-03-30,55,108,470,1400,600,TSMC,NVIDIA,780,100
Quadro CX,GPU,2008-11-11,55,150,470,1400,602,TSMC,NVIDIA,947,454
Quadro FX 4800,GPU,2008-11-11,55,150,470,1400,602,TSMC,NVIDIA,979,106
GeForce GTX 260,GPU,2008-11-27,55,171,470,1400,576,TSMC,NVIDIA,1221,88
GeForce GTX 260,GPU,2008-07-23,55,182,470,1400,576,TSMC,NVIDIA,1221,88
GeForce GTX 260,GPU,2008-09-16,65,182,576,1400,576,TSMC,NVIDIA,1221,88
GeForce GTX 260,GPU,2009-12-08,55,182,470,1400,518,TSMC,NVIDIA,1221,88
GeForce GTX 260,GPU,2008-06-16,65,182,576,1400,576,TSMC,NVIDIA,1221,88
Tesla T10,GPU,2009-04-09,55,188,470,1400,610,TSMC,NVIDIA,13264,624
Quadro FX 5800,GPU,2008-11-11,55,189,470,1400,610,TSMC,NVIDIA,1248,134
GeForce GTX 285,GPU,2009-01-15,55,204,470,1400,648,TSMC,NVIDIA,1550,117
GeForce GTX 285,GPU,2008-12-23,55,204,470,1400,648,TSMC,NVIDIA,1550,117
GeForce GTX 275,GPU,2010-02-16,,219,470,1400,633,TSMC,NVIDIA,1401,106
GeForce GTX 275,GPU,2009-01-15,55,219,470,1400,633,TSMC,NVIDIA,1401,106
GeForce GTX 280,GPU,2008-06-16,65,236,576,1400,602,TSMC,NVIDIA,1181,121
GeForce GTX 295,GPU,2009-01-08,,289,470,1400,576,TSMC,NVIDIA,1171,150
Radeon HD 7730M,GPU,2012-04-24,28,25,123,1500,575,TSMC,AMD,634,218
Radeon HD 7750M,GPU,2012-04-24,28,28,123,1500,575,TSMC,AMD,1191,693
Radeon HD 7770,GPU,2012-04-24,28,32,123,1500,675,TSMC,AMD,2204,471
FirePro M4000,GPU,2012-06-27,28,33,123,1500,675,TSMC,AMD,1597,410
Radeon E8860,GPU,2014-01-25,28,37,123,1500,575,TSMC,AMD,1626,528
Radeon HD 7850M,GPU,2012-04-24,28,40,123,1500,675,TSMC,AMD,1373,566
FirePro M6000,GPU,2012-07-01,28,43,123,1500,800,TSMC,AMD,1820,776
Radeon HD 7870M,GPU,2012-04-24,28,45,123,1500,800,TSMC,AMD,1507,556
Radeon HD 7730,GPU,2013-05-01,28,47,123,1500,800,TSMC,AMD,1217,402
FirePro W4100,GPU,2014-08-13,28,50,123,1500,630,TSMC,AMD,1541,535
Radeon HD 7750,GPU,2012-02-15,28,55,123,1500,800,TSMC,AMD,1696,398
Radeon R7 250,GPU,2013-10-08,28,55,123,1500,925,TSMC,AMD,1151,296
Radeon R7 250,GPU,2013-10-08,28,55,123,1500,700,TSMC,AMD,1151,296
Radeon R7 250,GPU,2013-12-20,28,55,123,1500,800,TSMC,AMD,1151,296
Radeon R7 450,GPU,2016-06-30,28,65,123,1500,925,TSMC,AMD,1966,573
Radeon R9 255,GPU,2013-12-21,28,65,123,1500,900,TSMC,AMD,1485,395
FirePro W600,GPU,2012-06-13,28,75,123,1500,750,TSMC,AMD,1752,631
Radeon HD 7770,GPU,2012-02-15,28,80,123,1500,1000,TSMC,AMD,2204,471
Radeon R7 250,GPU,2014-08-21,28,80,123,1500,860,TSMC,AMD,1151,296
Radeon R7 250X,GPU,2014-02-13,28,80,123,1500,950,TSMC,AMD,2269,637
Radeon 530,GPU,2017-04-18,28,50,125,1550,730,TSMC,AMD,945,181
Radeon 535,GPU,2017-04-18,28,50,125,1550,730,TSMC,AMD,1048,203
Radeon 625,GPU,2019-05-13,28,50,125,1550,730,TSMC,AMD,1150,210
Radeon HD 6950,GPU,2011-01-04,40,50,212,1700,580,TSMC,AMD,2650,421
Radeon HD 6970M,GPU,2011-01-04,40,75,212,1700,680,TSMC,AMD,2270,656
Radeon HD 6970M,GPU,2011-08-25,40,75,212,1700,680,TSMC,AMD,2270,656
Radeon HD 6990,GPU,2011-07-12,40,100,212,1700,715,TSMC,AMD,3013,630
Radeon HD 6850,GPU,2010-10-21,40,127,255,1700,775,TSMC,AMD,1979,425
Radeon HD 6790,GPU,2011-04-04,40,150,255,1700,840,TSMC,AMD,1613,370
Radeon HD 6870,GPU,2010-10-21,40,151,255,1700,900,TSMC,AMD,2223,397
Radeon HD 6850 X2,GPU,2011-09-19,40,254,255,1700,800,TSMC,AMD,2534,373
Radeon HD 6870,GPU,2011-07-08,40,300,255,1700,900,TSMC,AMD,2223,397
GeForce MX150,GPU,2017-05-17,14,10,74,1800,937,Samsung,NVIDIA,2310,218
GeForce MX230,GPU,2019-02-21,14,10,74,1800,1519,Samsung,NVIDIA,1884,219
GeForce MX250,GPU,NaT,14,10,74,1800,937,Samsung,NVIDIA,2515,250
GeForce MX330,GPU,2020-02-10,14,10,74,1800,1531,Samsung,NVIDIA,2547,234
Quadro P500,GPU,2018-01-05,14,18,74,1800,1455,Samsung,NVIDIA,1508,247
GeForce GT 1030,GPU,2018-03-12,14,20,74,1800,1152,Samsung,NVIDIA,2545,449
GeForce MX150,GPU,2017-05-17,14,25,74,1800,1469,Samsung,NVIDIA,2310,218
GeForce MX250,GPU,2019-02-21,14,25,74,1800,1519,Samsung,NVIDIA,2515,250
GeForce GT 1030,GPU,2017-05-17,14,30,74,1800,1228,Samsung,NVIDIA,2545,449
GeForce 940MX,GPU,2016-06-28,28,23,148,1870,795,TSMC,NVIDIA,1503,171
Quadro M600M,GPU,2015-08-18,28,30,148,1870,837,TSMC,NVIDIA,2008,446
Quadro M620,GPU,2017-01-11,28,30,148,1870,756,TSMC,NVIDIA,2845,422
Quadro M1000M,GPU,2015-08-18,28,40,148,1870,993,TSMC,NVIDIA,2987,335
GeForce 845M,GPU,2015-02-07,28,45,148,1870,863,TSMC,NVIDIA,1430,233
GeForce GTX 850A,GPU,2014-03-17,28,45,148,1870,902,TSMC,NVIDIA,1050,551
GeForce GTX 850M,GPU,2014-03-12,28,45,148,1870,902,TSMC,NVIDIA,2574,224
Quadro K1200,GPU,2015-01-28,28,45,148,1870,1058,TSMC,NVIDIA,2874,575
Quadro K620,GPU,2014-07-22,28,45,148,1870,1058,TSMC,NVIDIA,2246,472
Quadro M1200,GPU,2017-01-11,28,45,148,1870,991,TSMC,NVIDIA,3342,311
GeForce GTX 745,GPU,2014-02-18,28,55,148,1870,1033,TSMC,NVIDIA,2175,469
GeForce GTX 750,GPU,2014-02-18,28,55,148,1870,1020,TSMC,NVIDIA,3399,480
Quadro M2000M,GPU,2015-12-03,28,55,148,1870,1029,TSMC,NVIDIA,3539,342
GeForce GTX 750 Ti,GPU,2014-02-18,28,60,148,1870,1020,TSMC,NVIDIA,3919,498
Quadro K2200M,GPU,2014-07-19,28,65,148,1870,667,TSMC,NVIDIA,3877,432
NVS 810,GPU,2015-11-04,28,68,148,1870,902,TSMC,NVIDIA,1141,313
Quadro K2200,GPU,2014-07-22,28,68,148,1870,1046,TSMC,NVIDIA,3541,534
GeForce 940M,GPU,2015-03-13,28,75,148,1870,1020,TSMC,NVIDIA,1106,154
GeForce 945M,GPU,2015-10-27,28,75,148,1870,928,TSMC,NVIDIA,1945,256
GeForce GTX 860M,GPU,2015-02-05,28,75,148,1870,1020,TSMC,NVIDIA,3045,226
GeForce GTX 860M,GPU,2014-01-13,28,75,148,1870,1020,TSMC,NVIDIA,3045,226
GeForce GTX 950A,GPU,2015-03-13,28,75,148,1870,993,TSMC,NVIDIA,2483,282
GeForce GTX 950M,GPU,2015-03-13,28,75,148,1870,993,TSMC,NVIDIA,2602,219
GeForce GTX 960A,GPU,2015-03-13,28,75,148,1870,1029,TSMC,NVIDIA,2411,631
GeForce GTX 960M,GPU,2015-03-13,28,75,148,1870,1097,TSMC,NVIDIA,3419,245
